score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
0.0,0.277193,0.1237991603927987,0.125,611,1,0.0016366612111292963,-0.001,0.277
0.281685,0.554386,0.40710360130718953,0.4008515,612,1,0.0016339869281045752,0.277,0.555
0.555927,0.826773,0.6894530840630473,0.691667,571,16,0.028021015761821366,0.555,0.832
0.832418,1.108558,0.9673447658802179,0.958333,551,11,0.019963702359346643,0.832,1.109
1.110714,1.384199,1.2491048007054675,1.247086,567,23,0.04056437389770723,1.109,1.386
1.386905,1.661905,1.5274126294820716,1.5335315,502,38,0.07569721115537849,1.386,1.664
1.663925,1.939683,1.8072343434579439,1.8084414999999998,428,33,0.07710280373831775,1.664,1.941
1.943146,2.216162,2.0715999621621624,2.075432,370,33,0.0891891891891892,1.941,2.218
2.220455,2.494172,2.356294718826406,2.359835,409,37,0.09046454767726161,2.218,2.496
2.498074,2.772294,2.6332221473354234,2.627273,319,28,0.0877742946708464,2.496,2.773
2.773449,3.049073,2.9076328995983935,2.898882,249,26,0.10441767068273092,2.773,3.05
3.05035,3.325,3.1901006914893615,3.184316,282,21,0.07446808510638298,3.05,3.327
3.327928,3.603968,3.467478190871369,3.468681,241,19,0.07883817427385892,3.327,3.605
3.605975,3.881746,3.739927842105263,3.7488525,228,23,0.10087719298245613,3.605,3.882
3.882323,4.158549,4.020434604743083,4.021703,253,28,0.11067193675889328,3.882,4.159
4.159668,4.436131,4.305306808429119,4.314341,261,24,0.09195402298850575,4.159,4.436
4.436889,4.710342,4.563475637931034,4.561553,232,20,0.08620689655172414,4.436,4.714
4.716811,4.990643,4.84723514957265,4.847258,234,29,0.12393162393162394,4.714,4.991
4.991667,5.268182,5.130410112244898,5.1279345,294,31,0.1054421768707483,4.991,5.268
5.269949,5.542136,5.407566493243243,5.4004985,296,24,0.08108108108108109,5.268,5.546
5.548217,5.822367,5.687140797709923,5.6897255,262,37,0.14122137404580154,5.546,5.823
5.823601,6.096566,5.957606351351352,5.952832000000001,222,28,0.12612612612612611,5.823,6.1
6.100583,6.376992,6.240252358139535,6.239427,215,29,0.13488372093023257,6.1,6.377
6.379135,6.654335,6.522846282868525,6.524878,251,26,0.10358565737051793,6.377,6.655
6.655675,6.931298,6.808615987012987,6.817351,231,24,0.1038961038961039,6.655,6.932
6.933183,7.207024,7.062144791666667,7.0590285,216,19,0.08796296296296297,6.932,7.209
7.210516,7.485068,7.336255102459017,7.328467,244,32,0.13114754098360656,7.209,7.487
7.490715,7.763079,7.6296070857142855,7.6384485,210,33,0.15714285714285714,7.487,7.764
7.764522,8.041007,7.902871968181818,7.909045,220,43,0.19545454545454546,7.764,8.041
8.0421,8.317978,8.178364354679802,8.164886,203,37,0.18226600985221675,8.041,8.318
8.320648,8.595009,8.450968697115384,8.4469775,208,37,0.1778846153846154,8.318,8.596
8.597103,8.87225,8.739274105990784,8.740898,217,36,0.16589861751152074,8.596,8.873
8.873155,9.149759,9.011675524509803,9.0116385,204,38,0.18627450980392157,8.873,9.15
9.15209,9.425423,9.289171109289617,9.299512,183,35,0.1912568306010929,9.15,9.427
9.42833,9.695425,9.555630541899442,9.558369,179,38,0.2122905027932961,9.427,9.705
9.70595,9.981041,9.84334119,9.8449065,200,50,0.25,9.705,9.982
9.987374,10.255991,10.116114468421053,10.1154815,190,32,0.16842105263157894,9.982,10.259
10.25961,10.535892,10.396780234693878,10.404525,196,42,0.21428571428571427,10.259,10.537
10.54296,10.812807,10.684362822485207,10.687973,169,41,0.24260355029585798,10.537,10.814
10.816131,11.091044,10.944553312169312,10.948356,189,58,0.30687830687830686,10.814,11.091
